gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP004788,6.84541294446098,8.75544588783833E-45,4.21618496728855E-41,AgamP4_2L
AGAP003900,-6.04787397795131,1.36349654389011E-40,4.37727840473521E-37,AgamP4_2R
AGAP012818,-4.08059947159892,1.27331027811039E-38,3.06581282212028E-35,AgamP4_UNKN
AGAP002578,3.65790949649573,2.77313032305807E-38,5.34160362827446E-35,AgamP4_2R
AGAP008209,1.55646980771374,7.65984331136659E-35,1.05388501331102E-31,AgamP4_3R
AGAP001617,-1.78993552263296,2.08863693064771E-30,2.51445778488351E-27,AgamP4_2R
AGAP006707,1.9099586944854,9.4175803048665E-30,1.00778573240188E-26,AgamP4_2L
AGAP008922,1.84278500394605,7.52467754520817E-29,7.24701694378999E-26,AgamP4_3R
AGAP001102,-0.839174102829136,5.87215255379268E-27,5.14133647687066E-24,AgamP4_2R
AGAP013106,1.19424004723823,1.02498705531057E-26,8.22637527474678E-24,AgamP4_2R
AGAP012705,1.03987478500212,5.72933142407944E-26,4.24455314963916E-23,AgamP4_UNKN
AGAP010400,-2.57817686524052,1.23299851924013E-25,8.48214909914409E-23,AgamP4_3L
AGAP009040,-1.51668037992612,3.21844462067209E-25,2.06645600944619E-22,AgamP4_3R
AGAP000737,-1.25740728851123,6.60379640693583E-25,3.97507269969994E-22,AgamP4_X
AGAP029722,-5.79363731185809,5.3798062355085E-24,3.04781846201073E-21,AgamP4_3L
AGAP012469,-2.1763492118029,3.45014119580804E-23,1.84601721426818E-20,AgamP4_UNKN
AGAP010613,-2.70829840604189,3.79668233683489E-23,1.92451829400299E-20,AgamP4_3L
AGAP002483,1.80731208458906,1.30188449630049E-22,6.26922479193503E-20,AgamP4_2R
AGAP029469,0.890243819697626,3.69436177409164E-22,1.69430467839412E-19,AgamP4_3L
AGAP028567,-2.34404417611462,1.22138039374699E-20,5.34687026008059E-18,AgamP4_3R
AGAP004918,1.51191710463865,5.42314174900631E-20,2.27088166020347E-17,AgamP4_2L
AGAP001616,-1.55080381586326,1.19450417038759E-19,4.79344569375121E-17,AgamP4_2R
AGAP003066,1.23487480252731,2.18200751418712E-19,8.40596574765447E-17,AgamP4_2R
AGAP009433,0.981950241080661,3.2391609065481E-19,1.19985994965249E-16,AgamP4_3R
AGAP012995,3.29145164124061,4.80213333630836E-17,1.71293874674021E-14,AgamP4_2R
AGAP009592,-2.49205962969201,9.10012343425018E-17,3.13011745697369E-14,AgamP4_3R
AGAP004895,8.24741675948086,1.15689259522594E-16,3.84208020159347E-14,AgamP4_2L
AGAP028153,1.24796201307833,1.279908330018E-16,4.10893237546779E-14,AgamP4_3R
AGAP003636,-0.773609688363866,1.43635855564524E-16,4.46244169336107E-14,AgamP4_2R
AGAP002353,0.945545337643864,9.40676389155733E-16,2.83114196998715E-13,AgamP4_2R
AGAP009527,-1.51358776831845,9.92829484138582E-16,2.89755780658748E-13,AgamP4_3R
AGAP013155,-1.1931898661915,2.13306292519735E-15,6.04221442134578E-13,AgamP4_2R
AGAP004293,-1.94512494293387,3.28846499898252E-15,8.94401458376631E-13,AgamP4_2R
AGAP009591,2.81787225093767,3.3432096876294E-15,8.94401458376631E-13,AgamP4_3R
AGAP002336,-0.938791393598895,3.73965672362001E-15,9.73422537977955E-13,AgamP4_2R
AGAP008116,2.25554557204688,5.53001674773072E-15,1.4015681920367E-12,AgamP4_3R
