ontology,GO,description,hours,gene
MF,GO:0046914,transition metal ion binding,6,AGAP000092
MF,GO:0046914,transition metal ion binding,6,AGAP000314
MF,GO:0046914,transition metal ion binding,6,AGAP001065
MF,GO:0046914,transition metal ion binding,6,AGAP001076
MF,GO:0046914,transition metal ion binding,6,AGAP001296
MF,GO:0046914,transition metal ion binding,6,AGAP001864
MF,GO:0046914,transition metal ion binding,6,AGAP001881
MF,GO:0046914,transition metal ion binding,6,AGAP002339
MF,GO:0046914,transition metal ion binding,6,AGAP002375
MF,GO:0046914,transition metal ion binding,6,AGAP002418
MF,GO:0046914,transition metal ion binding,6,AGAP002465
MF,GO:0046914,transition metal ion binding,6,AGAP002741
MF,GO:0046914,transition metal ion binding,6,AGAP002933
MF,GO:0046914,transition metal ion binding,6,AGAP003066
MF,GO:0046914,transition metal ion binding,6,AGAP003209
MF,GO:0046914,transition metal ion binding,6,AGAP003230
MF,GO:0046914,transition metal ion binding,6,AGAP003289
MF,GO:0046914,transition metal ion binding,6,AGAP003343
MF,GO:0046914,transition metal ion binding,6,AGAP003475
MF,GO:0046914,transition metal ion binding,6,AGAP003522
MF,GO:0046914,transition metal ion binding,6,AGAP003597
MF,GO:0046914,transition metal ion binding,6,AGAP003636
MF,GO:0046914,transition metal ion binding,6,AGAP003695
MF,GO:0046914,transition metal ion binding,6,AGAP003698
MF,GO:0046914,transition metal ion binding,6,AGAP003869
MF,GO:0046914,transition metal ion binding,6,AGAP003926
MF,GO:0046914,transition metal ion binding,6,AGAP004224
MF,GO:0046914,transition metal ion binding,6,AGAP004417
MF,GO:0046914,transition metal ion binding,6,AGAP004775
MF,GO:0046914,transition metal ion binding,6,AGAP004809
MF,GO:0046914,transition metal ion binding,6,AGAP004895
MF,GO:0046914,transition metal ion binding,6,AGAP005153
MF,GO:0046914,transition metal ion binding,6,AGAP005205
MF,GO:0046914,transition metal ion binding,6,AGAP005234
MF,GO:0046914,transition metal ion binding,6,AGAP005484
MF,GO:0046914,transition metal ion binding,6,AGAP005618
MF,GO:0046914,transition metal ion binding,6,AGAP005656
MF,GO:0046914,transition metal ion binding,6,AGAP005917
MF,GO:0046914,transition metal ion binding,6,AGAP006048
MF,GO:0046914,transition metal ion binding,6,AGAP006144
MF,GO:0046914,transition metal ion binding,6,AGAP006207
