Midgut,Strain,Count
1,WT,0
2,WT,0
3,WT,0
4,WT,0
5,WT,0
6,WT,0
7,WT,0
8,WT,0
9,WT,0
10,WT,0
11,WT,0
12,WT,0
13,WT,0
14,WT,0
15,WT,0
16,WT,0
17,WT,0
18,WT,0
19,WT,0
20,WT,0
21,WT,0
22,WT,0
23,WT,0
24,WT,0
25,WT,0
26,WT,0
27,WT,0
28,WT,0
29,WT,0
30,WT,0
31,WT,0
32,WT,0
33,WT,0
34,WT,0
35,WT,0
36,WT,0
37,WT,0
38,WT,0
39,WT,0
40,WT,0
41,WT,0
42,WT,0
43,WT,0
44,WT,0
45,WT,0
46,WT,0
47,WT,0
48,WT,0
49,WT,0
50,WT,0
51,WT,0
52,WT,0
53,WT,0
54,WT,1
55,WT,1
56,WT,1
57,WT,1
58,WT,1
59,WT,1
60,WT,2
61,WT,2
62,WT,2
63,WT,2
64,WT,2
65,WT,3
66,WT,3
67,WT,3
68,WT,3
69,WT,4
70,WT,4
71,WT,4
72,WT,4
73,WT,4
74,WT,5
75,WT,5
76,WT,5
77,WT,5
78,WT,5
79,WT,5
80,WT,6
81,WT,6
82,WT,6
83,WT,6
84,WT,6
85,WT,8
86,WT,8
87,WT,8
88,WT,9
89,WT,9
90,WT,9
91,WT,9
92,WT,9
93,WT,10
94,WT,10
95,WT,10
96,WT,10
97,WT,11
98,WT,11
99,WT,11
100,WT,12
101,WT,13
102,WT,13
103,WT,14
104,WT,14
105,WT,14
106,WT,15
107,WT,15
108,WT,15
109,WT,15
110,WT,16
111,WT,17
112,WT,18
113,WT,18
114,WT,19
115,WT,23
116,WT,23
117,WT,23
118,WT,23
119,WT,24
120,WT,25
121,WT,26
122,WT,27
123,WT,27
124,WT,28
125,WT,31
126,WT,32
127,WT,32
128,WT,36
129,WT,37
130,WT,39
131,WT,39
132,WT,41
133,WT,44
134,WT,56
135,WT,58
136,WT,58
137,WT,67
138,WT,73
139,WT,75
140,WT,80
141,WT,90
142,WT,97
143,MM-CP,0
144,MM-CP,0
145,MM-CP,0
146,MM-CP,0
147,MM-CP,0
148,MM-CP,0
149,MM-CP,0
150,MM-CP,0
