Strain,Size
+/+,25.98226504
+/+,23.38542643
+/+,24.79990106
+/+,25.68387918
+/+,26.26181927
+/+,26.27726286
+/+,26.48486992
+/+,26.57661917
+/+,27.35147841
+/+,27.59513251
+/+,27.67587386
+/+,27.9820161
+/+,27.9820161
+/+,28.27767246
+/+,28.5134131
+/+,28.76838163
+/+,28.80361543
+/+,29.02111019
+/+,29.03508617
+/+,29.29936306
+/+,29.32704314
+/+,29.99046463
+/+,30.22626883
+/+,30.22626883
+/+,30.23968782
+/+,30.49352663
+/+,30.54005629
+/+,30.78483051
+/+,31.63624443
+/+,31.64265566
+/+,31.64265566
+/+,32.17663934
+/+,32.20814492
+/+,32.23332721
+/+,32.74529665
+/+,32.75149078
+/+,32.75149078
+/+,33.01059496
+/+,33.02288254
+/+,33.29815445
+/+,33.91383315
+/+,34.11064418
+/+,34.12253563
+/+,34.19379753
+/+,34.70022541
+/+,35.60617799
+/+,35.60617799
+/+,36.18260493
+/+,36.38944422
+/+,36.41173485
+/+,36.44514523
+/+,36.44514523
+/+,36.63389515
+/+,36.67816573
+/+,36.97560579
+/+,37.28699631
+/+,37.55261904
+/+,37.85390563
+/+,38.11025555
+/+,38.32257059
+/+,38.38075133
+/+,38.38603611
+/+,38.38603611
+/+,38.4018861
+/+,38.4018861
+/+,38.93694705
+/+,39.44933138
+/+,39.53151758
+/+,39.53151758
+/+,39.55203744
+/+,40.37432864
+/+,40.62476107
+/+,40.92325708
+/+,41.46491923
+/+,41.51381079
+/+,41.51381079
+/+,41.78654641
+/+,41.78654641
+/+,42.02856481
+/+,42.34591118
+/+,42.85540412
+/+,42.93107031
+/+,43.21833237
+/+,43.48037749
+/+,43.77793701
+/+,44.18380942
+/+,44.42190006
+/+,44.53135871
+/+,45.75359235
+/+,45.75359235
+/+,45.75359235
+/+,46.75350141
+/+,46.79253314
+/+,46.84019442
+/+,47.37415027
+/+,47.42550438
+/+,47.98677249
+/+,49.35381052
+/+,50.2498928
+/+,51.38355167
+/+,51.38355167
+/+,51.68270771
+/+,52.2603605
+/+,52.66248817
+/+,52.77791716
