event,day,strain,sex,feeding,Replicate,outcome
1,3,MM-CP,male,sugar,1,1
2,4,MM-CP,male,sugar,1,1
3,7,MM-CP,male,sugar,1,1
4,11,MM-CP,male,sugar,1,1
5,12,MM-CP,male,sugar,1,1
6,12,MM-CP,male,sugar,1,1
7,12,MM-CP,male,sugar,1,1
8,13,MM-CP,male,sugar,1,1
9,13,MM-CP,male,sugar,1,1
10,13,MM-CP,male,sugar,1,1
11,13,MM-CP,male,sugar,1,1
12,14,MM-CP,male,sugar,1,1
13,14,MM-CP,male,sugar,1,1
14,17,MM-CP,male,sugar,1,1
15,17,MM-CP,male,sugar,1,1
16,17,MM-CP,male,sugar,1,1
17,18,MM-CP,male,sugar,1,1
18,18,MM-CP,male,sugar,1,1
19,18,MM-CP,male,sugar,1,1
20,19,MM-CP,male,sugar,1,1
21,19,MM-CP,male,sugar,1,1
22,19,MM-CP,male,sugar,1,1
23,19,MM-CP,male,sugar,1,1
24,19,MM-CP,male,sugar,1,1
25,19,MM-CP,male,sugar,1,1
26,19,MM-CP,male,sugar,1,1
27,20,MM-CP,male,sugar,1,1
28,20,MM-CP,male,sugar,1,1
29,20,MM-CP,male,sugar,1,1
30,20,MM-CP,male,sugar,1,1
31,21,MM-CP,male,sugar,1,1
32,21,MM-CP,male,sugar,1,1
33,21,MM-CP,male,sugar,1,1
34,21,MM-CP,male,sugar,1,1
35,22,MM-CP,male,sugar,1,1
36,22,MM-CP,male,sugar,1,1
37,22,MM-CP,male,sugar,1,1
38,22,MM-CP,male,sugar,1,1
39,22,MM-CP,male,sugar,1,1
40,22,MM-CP,male,sugar,1,1
41,22,MM-CP,male,sugar,1,1
42,22,MM-CP,male,sugar,1,1
43,22,MM-CP,male,sugar,1,1
44,22,MM-CP,male,sugar,1,1
45,22,MM-CP,male,sugar,1,1
46,23,MM-CP,male,sugar,1,1
47,23,MM-CP,male,sugar,1,1
48,23,MM-CP,male,sugar,1,1
49,23,MM-CP,male,sugar,1,1
50,23,MM-CP,male,sugar,1,1
51,23,MM-CP,male,sugar,1,1
52,23,MM-CP,male,sugar,1,1
53,23,MM-CP,male,sugar,1,1
54,23,MM-CP,male,sugar,1,1
55,23,MM-CP,male,sugar,1,1
56,23,MM-CP,male,sugar,1,1
57,23,MM-CP,male,sugar,1,1
58,23,MM-CP,male,sugar,1,1
59,23,MM-CP,male,sugar,1,1
60,24,MM-CP,male,sugar,1,1
61,24,MM-CP,male,sugar,1,1
62,24,MM-CP,male,sugar,1,1
63,24,MM-CP,male,sugar,1,1
64,24,MM-CP,male,sugar,1,1
65,24,MM-CP,male,sugar,1,1
66,24,MM-CP,male,sugar,1,1
67,24,MM-CP,male,sugar,1,1
68,24,MM-CP,male,sugar,1,1
69,24,MM-CP,male,sugar,1,1
70,24,MM-CP,male,sugar,1,1
71,25,MM-CP,male,sugar,1,1
72,25,MM-CP,male,sugar,1,1
73,25,MM-CP,male,sugar,1,1
74,25,MM-CP,male,sugar,1,1
75,25,MM-CP,male,sugar,1,1
76,25,MM-CP,male,sugar,1,1
77,25,MM-CP,male,sugar,1,1
78,25,MM-CP,male,sugar,1,1
79,25,MM-CP,male,sugar,1,1
80,25,MM-CP,male,sugar,1,1
81,25,MM-CP,male,sugar,1,1
82,25,MM-CP,male,sugar,1,1
83,26,MM-CP,male,sugar,1,1
84,26,MM-CP,male,sugar,1,1
85,26,MM-CP,male,sugar,1,1
86,26,MM-CP,male,sugar,1,1
87,26,MM-CP,male,sugar,1,1
88,26,MM-CP,male,sugar,1,1
89,26,MM-CP,male,sugar,1,1
90,26,MM-CP,male,sugar,1,1
91,26,MM-CP,male,sugar,1,1
92,27,MM-CP,male,sugar,1,1
93,27,MM-CP,male,sugar,1,1
94,27,MM-CP,male,sugar,1,1
95,27,MM-CP,male,sugar,1,1
96,27,MM-CP,male,sugar,1,1
97,27,MM-CP,male,sugar,1,1
98,28,MM-CP,male,sugar,1,1
99,28,MM-CP,male,sugar,1,1
100,28,MM-CP,male,sugar,1,1
101,28,MM-CP,male,sugar,1,1
102,28,MM-CP,male,sugar,1,1
103,28,MM-CP,male,sugar,1,1
104,28,MM-CP,male,sugar,1,1
105,29,MM-CP,male,sugar,1,1
106,30,MM-CP,male,sugar,1,1
107,31,MM-CP,male,sugar,1,1
108,2,MM-CP,female,sugar,1,1
109,2,MM-CP,female,sugar,1,1
110,4,MM-CP,female,sugar,1,1
111,5,MM-CP,female,sugar,1,1
112,6,MM-CP,female,sugar,1,1
113,7,MM-CP,female,sugar,1,1
114,7,MM-CP,female,sugar,1,1
115,8,MM-CP,female,sugar,1,1
116,8,MM-CP,female,sugar,1,1
117,8,MM-CP,female,sugar,1,1
118,8,MM-CP,female,sugar,1,1
119,8,MM-CP,female,sugar,1,1
120,9,MM-CP,female,sugar,1,1
121,9,MM-CP,female,sugar,1,1
122,10,MM-CP,female,sugar,1,1
