event,strain,day,outcome
1,wt,1,1
2,wt,1,1
3,wt,1,1
5,het,1,1
6,het,1,1
7,het,1,1
8,het,1,1
9,het,1,1
10,het,1,1
11,het,1,1
12,het,1,1
13,hom,1,1
14,hom,1,1
15,hom,1,1
16,hom,1,1
17,wt,1,1
18,het,1,1
19,het,1,1
21,hom,1,1
22,hom,1,1
23,hom,1,1
24,hom,1,1
25,hom,1,1
26,wt,2,1
27,wt,2,1
28,wt,2,1
29,wt,2,1
30,het,2,1
31,het,2,1
32,het,2,1
33,het,2,1
34,hom,2,1
35,hom,2,1
36,hom,2,1
37,hom,2,1
38,hom,2,1
39,wt,2,1
40,wt,2,1
41,het,2,1
42,het,2,1
44,hom,2,1
45,hom,2,1
46,hom,2,1
47,wt,3,1
48,wt,3,1
49,het,3,1
50,hom,3,1
51,wt,3,1
52,het,3,1
53,hom,3,1
54,hom,3,1
55,wt,4,1
56,wt,4,1
57,wt,4,1
58,wt,4,1
59,wt,4,1
60,het,4,1
61,het,4,1
62,het,4,1
63,het,4,1
64,hom,4,1
65,hom,4,1
66,hom,4,1
67,hom,4,1
68,hom,4,1
69,wt,4,1
70,het,4,1
71,het,4,1
72,het,4,1
73,het,4,1
74,het,4,1
75,hom,4,1
76,hom,4,1
77,het,5,1
78,het,5,1
79,hom,5,1
80,hom,5,1
81,hom,5,1
82,wt,5,1
83,het,5,1
84,het,5,1
85,het,5,1
86,hom,5,1
87,wt,6,1
88,wt,6,1
89,wt,6,1
90,wt,6,1
91,wt,6,1
92,het,6,1
93,het,6,1
94,hom,6,1
95,hom,6,1
96,hom,6,1
97,hom,6,1
98,hom,6,1
99,wt,6,1
100,wt,6,1
101,wt,6,1
102,wt,6,1
103,wt,6,1
104,het,6,1
105,hom,6,1
106,wt,7,1
107,wt,7,1
108,wt,7,1
109,wt,7,1
110,wt,7,1
111,het,7,1
112,het,7,1
113,het,7,1
114,het,7,1
115,het,7,1
116,het,7,1
117,het,7,1
118,het,7,1
119,het,7,1
120,hom,7,1
121,hom,7,1
122,hom,7,1
123,hom,7,1
124,hom,7,1
125,hom,7,1
126,hom,7,1
127,hom,7,1
128,hom,7,1
129,hom,7,1
130,wt,7,1
131,wt,7,1
132,wt,7,1
133,het,7,1
